"A00","Cholera"
"V78.92","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While working for income"
"V78.93","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While engaged in other types of work"
"V78.94","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.98","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While engaged in other specified activities"
"V78.99","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident During unspecified activity"
"V79","Bus occupant injured in other and unspecified transport accidents"
"V79.0","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V79.00","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V79.01","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V79.02","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V79.03","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V79.04","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V79.08","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
"V79.09","Driver injured in collision with other and unspecified motor vehicles in nontraffic accident During unspecified activity"
"V79.1","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V79.10","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V79.11","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V79.12","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V79.13","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V79.14","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V79.18","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
"V79.19","Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident During unspecified activity"
"V79.2","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident"
"V79.20","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in sports activity"
"V79.21","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in leisure activity"
"V79.22","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While working for income"
"V79.23","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other types of work"
"V79.24","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V79.28","Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident While engaged in other specified activities"
